name,gender
Kinuyo Tanaka,f
Robert Shaw,m
Karl Urban,m
Frank Sivero,m
Chris Hemsworth,m
Kurtwood Smith,m
Curtiss Cook,m
Danny Darst,m
Russ Fega,m
R. Lee Ermey,m
Naomi Stevens,f
Rupert Graves,m
Hugo Weaving,m
Helen Horton,f
Benedict Cumberbatch,m
Harry Crocker,m
Richmond Arquette,m
Eddie Powell,m
Paul Henreid,m
Uma Thurman,f
Rada Rassimov,f
Laura De Marchi,f
Tomas Arana,m
Jamie Harris,m
Kate Winslet,f
Reginald Gardiner,m
Michael Berryman,m
Gary Lockwood,m
Emily Mortimer,f
John Cazale,m
Jung Jae-young,m
Ian McKellen,m
Hertha von Walther,f
Rasmus Hardiker,m
Collette Wolfe,f
Jerry Hausner,m
Aïssa Maïga,f
John Wengraf,m
Kathryn Mullen,f
Natasha Abramova,f
Kim Se-dong,m
Michael Alldredge,m
David Lee Smith,m
Frederick Schrecker,m
Elliott Gould,m
Samantha Mahurin,f
Helen von Münchofen,f
James Northcote,m
Mads Mikkelsen,m
John Mulaney,m
Edward Furlong,m
Thomas Kretschmann,m
Charlie Chaplin,m
Robbie Coltrane,m
Nico,f
Tani Kanon,f
Filipp Yankovsky,m
Malcolm McDowell,m
Michel Simon,m
Margaret Tyzack,f
Sheldon Leonard,m
Eddie Baker,m
Vittorio Gassman,m
Enzo Staiola,f
Andrew Scott,m
Halvar Björk,m
Totò,m
Jessica Chastain,f
John Anderson,m
Maxine Cooper,f
Luis Beristáin,m
Sayaka Ohara,f
Kamatari Fujiwara,m
Memmo Carotenuto,m
Viggo Mortensen,m
Ralph Moratz,m
Curt Siodmak,m
Sergio Bini Bustric,m
Magali Noël,f
Masao Shimizu,m
Hugh Jackman,m
Elena Fabrizi,f
Reg E. Cathey,m
Michael P. Moran,m
Ted Markland,m
Carrie-Anne Moss,f
Antonio Centa,m
Maurice Moscovitch,m
James Waterston,m
Liv Tyler,f
Chiwetel Ejiofor,m
Bruce Boa,m
Mädchen Amick,f
Jim Farley,m
Carl Bressler,m
Benicio del Toro,m
Oh Dal-su,m
Sam Worthington,m
Tracey Walter,m
Dan Hedaya,m
James Keane,m
Noriko Honma,f
Deepti Naval,f
Bill Shine,m
John Franchi,m
Maud Hansson,f
Kumeko Urabe,f
Claudio Gora,m
Masami Nagasawa,f
Jodie Foster,f
