name,gender
Edgar G. Ulmer,m
Bill Pope,m
Martin Scorsese,m
Stephen McFeely,m
Michiyo Yasuda,f
John Papsidera,m
Stephen Rennicks,m
George Lucas,m
Tokuzô Tanaka,m
Louis DiGiaimo,m
Richard Mueller,m
Richard Chew,m
Gary Fettis,m
Guel Arraes,m
Thea von Harbou,f
Marc Beauchamps,m
William M. Anderson,m
Andrea Barata Ribeiro,f
Gary Wissner,m
Karyn Wagner,f
Angelo P. Graham,m
Thomas Vinterberg,m
Peter Jackson,m
Glenn R. Wilder,m
Billy Wilder,m
Motoaki Ikegami,m
Brian Hayes Currie,m
Martin Bregman,m
Harvey Keitel,m
Rudolph Sternad,m
Jeff Cronenweth,m
Francis Ford Coppola,m
Dennis Lehane,m
Kazuo Miyagawa,m
Gary Levinsohn,m
Isaac Klausner,m
Carlo Simi,m
Franz Waxman,m
Alan Gibbs,m
John Ottman,m
Hayao Miyazaki,m
Celestia Fox,f
Deborah Nadoolman,f
Andrei Tarkovsky,m
Vic Ramos,m
Francis Ford Coppola,m
Christopher Doyle,m
Yasuo Uragami,m
J.R.R. Tolkien,m
Christopher Doyle,m
Christina Steinberg,f
Francis Ford Coppola,m
Al Ernest Garcia,m
Edward G. Boyle,m
Joseph M. Schenck,m
Arthur Hornblow Jr.,m
Su Armstrong,f
Edward G. Boyle,m
Philip Ivey,m
Mathieu Vadepied,m
Edith Head,f
Mario Cecchi Gori,m
Leslie Bloom,m
Carl Theodor Dreyer,m
Andrew Kevin Walker,m
Vadim Yusov,m
Robbie Robertson,m
Akira Kurosawa,m
Akira Kurosawa,m
Alan Silvestri,m
Edward Hearn,m
Robert Richardson,m
Suso Cecchi d'Amico,f
Jack L. Warner,m
Eduard Artemiev,m
Nino Rota,m
Shinobu Hashimoto,m
Jim Starlin,m
Carlo Rustichelli,m
Charlie Chaplin,m
Bernard Herrmann,m
Jerry Goldsmith,m
Anne Dudley,f
Peter Landsdown Smith,m
Alexandre de Franceschi,m
Ian Whittaker,m
Philippa Boyens,f
Ray Moyer,m
Hans Dreier,m
John Gilbert,m
Roger Christian,m
Vittorio De Sica,m
Irene Mecchi,f
David Franzoni,m
Hal Pereira,m
Julius J. Epstein,m
Louis D'Esposito,m
Thelma Schoonmaker,f
Tullio Pinelli,m
Vincent Korda,m
Corinne Jorry,f
Toru Takemitsu,m
Frank Barnes,m
Shaheen Baig,f
Henry Bumstead,m
Stephen King,m
Janusz Kamiński,m
Frederic Knudtson,m
Anna Hill Johnstone,f
Russell Harlan,m
Toshihiko Kojima,m
Henning Molfenter,m
Kerry Rossall,m
Amy Pascal,f
Stanley Kubrick,m
Georg Friedrich Händel,m
